,Precision,Recall,F1_Score
covid,0.20666666666666667,0.9117647058823529,0.33695652173913043
economic,0.8571428571428571,0.6923076923076923,0.7659574468085106
education,0.0,0.0,0.0
environmental,0.0,0.0,0.0
foreign policy,0.8484848484848485,0.6511627906976745,0.7368421052631579
governance,0.7236842105263158,0.5,0.5913978494623656
health,1.0,0.010869565217391304,0.021505376344086023
immigration,1.0,0.7666666666666667,0.8679245283018868
military,0.8421052631578947,0.5925925925925926,0.6956521739130435
safety,0.8518518518518519,0.647887323943662,0.736
social cultural,0.875,0.08974358974358974,0.16279069767441862
social programs,0.8852459016393442,0.72,0.7941176470588235
